t;y1;y2
0.0000000000;0.0000000000;0.0000000000
0.0100000000;-0.0100691405;0.0000897891
0.0200000000;-0.0101694220;0.0001895870
0.0300000000;-0.0102692182;0.0002893853
0.0400000000;-0.0103690148;0.0003891837
0.0500000000;-0.0104688111;0.0004889820
0.0600000000;-0.0105686074;0.0005887802
0.0700000000;-0.0106684035;0.0006885785
0.0800000000;-0.0107681997;0.0007883767
0.0900000000;-0.0108679960;0.0008881750
0.1000000000;-0.0109677922;0.0009879732
0.1100000000;-0.0110675883;0.0010877713
0.1200000000;-0.0111673844;0.0011875695
0.1300000000;-0.0112671806;0.0012873676
0.1400000000;-0.0113669766;0.0013871658
0.1500000000;-0.0114667727;0.0014869638
0.1600000000;-0.0115665687;0.0015867619
0.1700000000;-0.0116663647;0.0016865600
0.1800000000;-0.0117661607;0.0017863580
0.1900000000;-0.0118659567;0.0018861560
0.2000000000;-0.0119657527;0.0019859540
0.2100000000;-0.0120655486;0.0020857520
0.2200000000;-0.0121653445;0.0021855499
0.2300000000;-0.0122651404;0.0022853479
0.2400000000;-0.0123649363;0.0023851458
0.2500000000;-0.0124647321;0.0024849437
0.2600000000;-0.0125645280;0.0025847415
0.2700000000;-0.0126643238;0.0026845394
0.2800000000;-0.0127641196;0.0027843372
0.2900000000;-0.0128639153;0.0028841350
0.3000000000;-0.0129637111;0.0029839328
0.3100000000;-0.0130635068;0.0030837306
0.3200000000;-0.0131633025;0.0031835283
0.3300000000;-0.0132630982;0.0032833261
0.3400000000;-0.0133628938;0.0033831238
0.3500000000;-0.0134626895;0.0034829215
0.3600000000;-0.0135624851;0.0035827191
0.3700000000;-0.0136622807;0.0036825168
0.3800000000;-0.0137620763;0.0037823144
0.3900000000;-0.0138618718;0.0038821120
0.4000000000;-0.0139616674;0.0039819096
0.4100000000;-0.0140614629;0.0040817071
0.4200000000;-0.0141612584;0.0041815047
0.4300000000;-0.0142610538;0.0042813022
0.4400000000;-0.0143608493;0.0043810997
0.4500000000;-0.0144606447;0.0044808972
0.4600000000;-0.0145604401;0.0045806946
0.4700000000;-0.0146602355;0.0046804921
0.4800000000;-0.0147600309;0.0047802895
0.4900000000;-0.0148598263;0.0048800869
0.5000000000;-0.0149596216;0.0049798843
0.5100000000;-0.0150594169;0.0050796816
0.5200000000;-0.0151592122;0.0051794790
0.5300000000;-0.0152590074;0.0052792763
0.5400000000;-0.0153588027;0.0053790736
0.5500000000;-0.0154585979;0.0054788708
0.5600000000;-0.0155583931;0.0055786681
0.5700000000;-0.0156581883;0.0056784653
0.5800000000;-0.0157579834;0.0057782625
0.5900000000;-0.0158577785;0.0058780597
0.6000000000;-0.0159575737;0.0059778569
0.6100000000;-0.0160573688;0.0060776540
0.6200000000;-0.0161571638;0.0061774512
0.6300000000;-0.0162569589;0.0062772483
0.6400000000;-0.0163567539;0.0063770454
