t;y1;y2;y3
0.0000000330;0.9999999670;0.0000000122;0.0000000208
0.0003300660;0.9999999340;0.0000000373;0.0000000287
0.0006600990;0.9999999010;0.0000000674;0.0000000316
0.0009901320;0.9999998680;0.0000000993;0.0000000327
0.0013201650;0.9999998350;0.0000001320;0.0000000330
0.0016501980;0.9999998020;0.0000001646;0.0000000334
0.0019802310;0.9999997690;0.0000001978;0.0000000332
0.0023102640;0.9999997360;0.0000002307;0.0000000333
0.0026402970;0.9999997030;0.0000002637;0.0000000333
0.0029703300;0.9999996700;0.0000002967;0.0000000333
0.0033003630;0.9999996370;0.0000003296;0.0000000334
0.0036303960;0.9999996040;0.0000003626;0.0000000334
0.0039604290;0.9999995710;0.0000003957;0.0000000333
0.0042904620;0.9999995380;0.0000004287;0.0000000333
0.0046204950;0.9999995050;0.0000004617;0.0000000333
0.0049505280;0.9999994720;0.0000004946;0.0000000334
0.0052805610;0.9999994390;0.0000005276;0.0000000334
0.0056105940;0.9999994060;0.0000005606;0.0000000334
0.0059406270;0.9999993730;0.0000005936;0.0000000334
0.0062706600;0.9999993400;0.0000006266;0.0000000334
0.0066006930;0.9999993070;0.0000006597;0.0000000333
0.0069307260;0.9999992740;0.0000006927;0.0000000333
0.0072607590;0.9999992410;0.0000007257;0.0000000333
0.0075907920;0.9999992080;0.0000007586;0.0000000334
0.0079208250;0.9999991750;0.0000007916;0.0000000334
0.0082508580;0.9999991420;0.0000008247;0.0000000333
0.0085808910;0.9999991090;0.0000008577;0.0000000333
0.0089109240;0.9999990760;0.0000008907;0.0000000333
0.0092409570;0.9999990430;0.0000009237;0.0000000333
0.0095709900;0.9999990100;0.0000009567;0.0000000333
0.0099010230;0.9999989770;0.0000009897;0.0000000333
0.0102310560;0.9999989440;0.0000010227;0.0000000333
0.0105610890;0.9999989110;0.0000010557;0.0000000333
0.0108911220;0.9999988780;0.0000010887;0.0000000333
0.0112211550;0.9999988450;0.0000011217;0.0000000333
0.0115511880;0.9999988120;0.0000011547;0.0000000333
0.0118812210;0.9999987790;0.0000011877;0.0000000333
0.0122112540;0.9999987460;0.0000012207;0.0000000333
0.0125412870;0.9999987130;0.0000012537;0.0000000333
0.0128713200;0.9999986800;0.0000012866;0.0000000334
0.0132013530;0.9999986470;0.0000013196;0.0000000334
0.0135313860;0.9999986140;0.0000013526;0.0000000334
0.0138614190;0.9999985810;0.0000013856;0.0000000334
0.0141914520;0.9999985480;0.0000014186;0.0000000334
0.0145214850;0.9999985150;0.0000014516;0.0000000334
0.0148515180;0.9999984820;0.0000014846;0.0000000334
0.0151815510;0.9999984490;0.0000015176;0.0000000334
0.0155115840;0.9999984160;0.0000015506;0.0000000334
0.0158416170;0.9999983830;0.0000015837;0.0000000333
0.0161716500;0.9999983500;0.0000016167;0.0000000333
0.0165016830;0.9999983170;0.0000016497;0.0000000333
0.0168317160;0.9999982840;0.0000016827;0.0000000333
0.0171617490;0.9999982510;0.0000017157;0.0000000333
0.0174917820;0.9999982180;0.0000017487;0.0000000333
0.0178218150;0.9999981850;0.0000017817;0.0000000333
0.0181518480;0.9999981520;0.0000018147;0.0000000333
0.0184818810;0.9999981190;0.0000018476;0.0000000334
0.0188119140;0.9999980860;0.0000018806;0.0000000334
0.0191419470;0.9999980530;0.0000019137;0.0000000333
0.0194719800;0.9999980200;0.0000019467;0.0000000333
0.0198020130;0.9999979870;0.0000019797;0.0000000333
0.0201320460;0.9999979540;0.0000020127;0.0000000333
